f  [Hz] 	 ZLong real [Ohm]	 ZLong imag [Ohm]	 ZLongSurf real [Ohm]	 ZLongSurf imag [Ohm]	 ZLongDSC real [Ohm]	 ZLongDSC imag [Ohm]	 ZLongISC real [Ohm]	 ZLongISC imag [Ohm]
760000.0	0.00848156642047846	0.008782021069464331	0.0018651938730256308	0.0019312673012849945	-0.0	-1.7787522426676412	0.0	1.5486712911911118
770000.0	0.008546449105968159	0.00883933305660345	0.0018794623207912036	0.001943870865528117	-0.0	-1.7997244851258196	0.0	1.5666161527613829
780000.0	0.008610740048007317	0.008895995386880212	0.001893600637375385	0.0019563315627654097	-0.0	-1.820665342767652	0.0	1.584529629517369
790000.0	0.00867444523751398	0.0089520324672292	0.0019076101402498622	0.00196865476036212	-0.0	-1.8415752179848792	0.0	1.6024121238508373
800000.0	0.008737571053845284	0.00900746778841296	0.001921492232308542	0.00198084562420674	-0.0	-1.8624545029812793	0.0	1.6202640279655955
810000.0	0.008800124222196415	0.009062323947800294	0.0019352483924990895	0.0019929091237202183	-0.0	-1.8833035801547657	0.0	1.6380857242595812
820000.0	0.008862111773712154	0.00911662267267219	0.0019488801670510003	0.002004850036981197	-0.0	-1.9041228224605913	0.0	1.655877585688075
830000.0	0.008923541008193654	0.00917038484391615	0.001962389161274391	0.002016672955936671	-0.0	-1.9249125937568734	0.0	1.6736399761092209
840000.0	0.00898441945928364	0.009223630519983353	0.0019757770319038265	0.0020283822916704417	-0.0	-1.9456732491334	0.0	1.6913732506128334
850000.0	0.009044754862013824	0.00927637896099547	0.0019890454799616234	0.0020399822797044806	-0.0	-1.9664051352248506	0.0	1.7090777558336194
860000.0	0.009104555122600467	0.009328648652900047	0.0020021962441155463	0.0020514769853109773	-0.0	-1.9871085905092172	0.0	1.7267538302495973
870000.0	0.009163828290375854	0.009380457331584222	0.002015231094506217	0.0020628703088152256	-0.0	-2.007783945592374	0.0	1.7444018044666683
880000.0	0.009222582531745998	0.009431822006866496	0.002028151827020115	0.0020741659908716827	-0.0	-2.028431523479555	0.0	1.7620220014900922
890000.0	0.009280826106067813	0.009482758986295978	0.0020409602579846906	0.0020853676176977027	-0.0	-2.0490516398344867	0.0	1.7796147369836226
900000.0	0.009338567343342	0.00953328389869671	0.0020536582192627745	0.0020964786262512016	-0.0	-2.0696446032268745	0.0	1.7971803195169929
910000.0	0.009395814623621369	0.00958341171740307	0.0020662475537242308	0.0021075023093403878	-0.0	-2.090210715368896	0.0	1.8147190508024071
920000.0	0.009452576358037531	0.009633156783138952	0.002078730111073509	0.002118441820655161	-0.0	-2.1107502713412862	0.0	1.8322312259206255
930000.0	0.009508860971352817	0.009682532826500584	0.0020911077440126102	0.0021293001797113376	-0.0	-2.1312635598096037	0.0	1.8497171335372347
940000.0	0.009564676885947634	0.009731552990008569	0.0021033823047197234	0.0021400802767001497	-0.0	-2.1517508632311744	0.0	1.8671770561095882
950000.0	0.00962003250715724	0.009780229849700148	0.002115555641624613	0.0021507848772366316	-0.0	-2.172212458053257	0.0	1.8846112700849693
960000.0	0.009674936209875787	0.009828575436238076	0.0021276295964626954	0.0021614166270017047	-0.0	-2.192648614902842	0.0	1.9020200460903964
970000.0	0.00972939632634902	0.009876601255516688	0.0021396060015905125	0.002171978056273687	-0.0	-2.213059598768553	0.0	1.9194036491145203
980000.0	0.009783421135080446	0.009924318308749654	0.0021514866775460694	0.002182471584345822	-0.0	-2.2334456691750333	0.0	1.9367623386820108
990000.0	0.00983701885078001	0.009971737112028246	0.0021632734308384355	0.0021928995238273646	-0.0	-2.2538070803502266	0.0	1.9540963690208377
1000000.0	0.009890197615287002	0.010018867715341339	0.0021749680519515856	0.0022032640848263017	-0.0	-2.274144081385901	0.0	1.9714059892227973
1100000.0	0.010400668056750717	0.010476235838976408	0.0022872263651659863	0.002303844588430167	-0.0	-2.47622295303558	0.0	2.1432110526870045
1200000.0	0.010877435593977688	0.010913020325556194	0.0023920730226355503	0.0023998985138270405	-0.0	-2.676101913549705	0.0	2.3128162053101815
1300000.0	0.011326758952777495	0.01133397892830215	0.002490884390051974	0.0024924721455966887	-0.0	-2.8739647347099275	0.0	2.480405218900757
1400000.0	0.011753666167712526	0.011742045667315704	0.00258476618996628	0.0025822107084588417	-0.0	-3.069966824172169	0.0	2.6461335011414273
1500000.0	0.01216209446013543	0.012139027970822053	0.002674584262575861	0.0026695116766398907	-0.0	-3.2642413269777713	0.0	2.810134197100309
1600000.0	0.012555081384148459	0.012526055241259347	0.002761006600916394	0.0027546234187080204	-0.0	-3.4569035929137684	0.0	2.9725226565912095
1700000.0	0.012934952541818928	0.012903860706402563	0.002844544631593768	0.0028377071798726208	-0.0	-3.6480545228123025	0.0	3.1333997804730473
1800000.0	0.013303484681538396	0.013272954605218096	0.0029255890819865765	0.002918875167542879	-0.0	-3.837783124876998	0.0	3.292854576976222
1900000.0	0.013662038859233025	0.013633727929035238	0.0030044392639257326	0.002998213365202936	-0.0	-4.026168501273136	0.0	3.450966148292788
2000000.0	0.0140116652244907	0.013986512511603296	0.00308132611736737	0.003075794746905625	-0.0	-4.213281415397745	0.0	3.6078052578465507
2100000.0	0.014353183505526914	0.01433161415152562	0.0031564299099612688	0.0031516865612761483	-0.0	-4.3991855449631485	0.0	3.7634355833766113
2200000.0	0.014687243765330187	0.014669329429027619	0.0032298935980250667	0.003225954029712521	-0.0	-4.583938495895202	0.0	3.9179147308355944
2300000.0	0.015014371651696005	0.014999952956284708	0.0033018327775464515	0.003298661940815958	-0.0	-4.767592631534472	0.0	4.071295063590845
2400000.0	0.01533500172220128	0.015323779267536756	0.003372343012727806	0.003369875066048754	-0.0	-4.950195757378048	0.0	4.223624387166226
2500000.0	0.0156495017433883	0.015641101930389634	0.003441505179655854	0.003439657964299285	-0.0	-5.131791691516403	0.0	4.3749465196789865
2600000.0	0.015958190245193307	0.015952211424439026	0.003509389326722132	0.003508074515367017	-0.0	-5.312420743667311	0.0	4.525301770873676
2700000.0	0.0162613490906504	0.016257392679450613	0.0035760574388452463	0.003575187378580057	-0.0	-5.492120120413315	0.0	4.6747273473596085
2800000.0	0.016559232399421777	0.016556922757447117	0.0036415653998576676	0.003641057483059467	-0.0	-5.670924270329495	0.0	4.823257697738645
2900000.0	0.016852072831361687	0.01685106891332002	0.0037059643743336222	0.003705743601225506	-0.0	-5.848865179750606	0.0	4.970924808372313
3000000.0	0.017140085978831297	0.017140087119956893	0.003769301773509568	0.003769302024456193	-0.0	-6.0259726276991135	0.0	5.117758458309852
3100000.0	0.017423473419584147	0.017424221059312704	0.0038316219266487815	0.003831786341212295	-0.0	-6.202274406789028	0.0	5.26378644019205
3200000.0	0.01770242483306538	0.01770370153632956	0.0038929665464398602	0.00389324730815155	-0.0	-6.377796515599417	0.0	5.409034752624744
3300000.0	0.017977119471283717	0.0179787462525875	0.003953375052458367	0.003953732800351874	-0.0	-6.552563326980343	0.0	5.55352776848478
3400000.0	0.0182477271924041	0.018249559871060302	0.00401288479846572	0.00401328782555191	-0.0	-6.726597735941449	0.0	5.697288382808563
3500000.0	0.018514409204031742	0.018516334306001695	0.004071531235865896	0.004071954587900332	-0.0	-6.899921290128356	0.0	5.840338143268503
3600000.0	0.018777318618465825	0.01877924917881194	0.004129348035812096	0.004129772588206142	-0.0	-7.072554305376906	0.0	5.982697365727209
3700000.0	0.019036600889861054	0.01903847238929716	0.004186367185343588	0.004186778749565166	-0.0	-7.244515968419097	0.0	6.124385236943454
3800000.0	0.019292394180080455	0.01929416076059291	0.004242619067840947	0.00424300755918614	-0.0	-7.415824428478624	0.0	6.265419906167714
3900000.0	0.019544829683646285	0.019546460724378073	0.0042981325344864825	0.004298491219077131	-0.0	-7.5864968792188145	0.0	6.405818567090085
4000000.0	0.01979403193078283	0.019795509020457104	0.0043529349709068394	0.004353259799891697	-0.0	-7.75654963228089	0.0	6.545597531378567
4100000.0	0.020040119079731442	0.0200414333911812	0.004407052361456426	0.004407341393640083	-0.0	-7.925998183464215	0.0	6.684772294859298
4200000.0	0.020283203204292617	0.02028435325650556	0.004460509352451225	0.004460762262142065	-0.0	-8.09485727244669	0.0	6.823357597236953
4300000.0	0.020523390579161693	0.020524380359809604	0.004513329314917384	0.004513546979050234	-0.0	-8.263140936814624	0.0	6.961367476124617
4400000.0	0.020760781963522486	0.020761619378049472	0.004565534406956721	0.00456571856402954	-0.0	-8.430862561064165	0.0	7.0988153160452105
4500000.0	0.0209954728821487	0.02099616849249284	0.004617145635564146	0.004617298608268429	-0.0	-8.59803492114604	0.0	7.2357138929762375
4600000.0	0.021227553902643848	0.021228119918326044	0.004668182917595908	0.004668307390945538	-0.0	-8.76467022504916	0.0	7.372075414933388
4700000.0	0.021457110907222826	0.0214575603929385	0.004718665139537486	0.004718763986609044	-0.0	-8.930780149853572	0.0	7.507911559023476
4800000.0	0.02168422535745578	0.021684571623781734	0.004768610215723802	0.004768686363666008	-0.0	-9.096375875628908	0.0	7.643233505342913
4900000.0	0.02190897455055517	0.02190923069745501	0.00481803514469969	0.004818091474345005	-0.0	-9.261468116506789	0.0	7.778051968050097
5000000.0	0.02213143186602327	0.022131610452164257	0.004866956063460523	0.004866995336604122	-0.0	-9.426067149215811	0.0	7.91237722390039
5100000.0	0.022351667001743177	0.022351779815994312	0.0049153882993713234	0.0049154131085209045	-0.0	-9.590182839332927	0.0	8.046219138497532
5200000.0	0.02256974619886097	0.02256980411357618	0.004963346419620945	0.004963359155732013	-0.0	-9.753824665475294	0.0	8.179587190485446
5300000.0	0.022785732455055892	0.022785745343763358	0.005010844278122629	0.005010847112497436	-0.0	-9.91700174163048	0.0	8.312490493878476
5400000.0	0.02299968572601534	0.022999662430882525	0.005057895059820668	0.005057889936953399	-0.0	-10.079722837800917	0.0	8.444937818705833
5500000.0	0.023211663115121614	0.023211611452022274	0.005104511322404707	0.005104499961095773	-0.0	-10.241996399118719	0.0	8.576937610126402
5600000.0	0.023421719051513665	0.023421645842684573	0.0051507050354675605	0.0051506889360051844	-0.0	-10.403830563569864	0.0	8.708498006152935
5700000.0	0.02362990545681298	0.02362981658296517	0.005196487617170152	0.005196468072790236	-0.0	-10.565233178452027	0.0	8.839626854109893
5800000.0	0.023836271900899843	0.02383617236625892	0.005241869968498503	0.005241848079687735	-0.0	-10.726211815677281	0.0	8.970331725936108
5900000.0	0.024040865747198124	0.02404075975231425	0.005286862505213529	0.005286839195721134	-0.0	-10.88677378601893	0.0	9.10061993243167
6000000.0	0.024243732287975966	0.02424362330629126	0.005331475187605208	0.005331451221281004	-0.0	-11.046926152392489	0.0	9.23049853653886
6100000.0	0.02444491487020183	0.024444805725316054	0.005375717548169777	0.005375693545955785	-0.0	-11.206675742250855	0.0	9.359974365737354
6200000.0	0.02464445501251116	0.024644347953870917	0.005419598717332046	0.005419575173907407	-0.0	-11.366029159166567	0.0	9.489054023626473
6300000.0	0.024842392513841738	0.024842289289216744	0.0054631274473355505	0.005463104747054901	-0.0	-11.524992793666692	0.0	9.617743900760045
6400000.0	0.025038765554291447	0.025038667477914847	0.005506312134422343	0.0055062905663006475	-0.0	-11.683572833379522	0.0	9.746050184793148
6500000.0	0.025233610788737017	0.025233518804394752	0.005549160839420825	0.005549140611007452	-0.0	-11.84177527254711	0.0	9.873978869994607
6600000.0	0.02542696343373362	0.02542687817240741	0.005591681306855969	0.005591662556911046	-0.0	-11.999605920952181	0.0	10.001535766173921
6700000.0	0.025618857348192647	0.02561877918010689	0.005633880982691284	0.005633863792631407	-0.0	-12.157070412303954	0.0	10.128726507067082
6800000.0	0.02580932510830787	0.025809254189416094	0.005675767030805942	0.005675751434927084	-0.0	-12.314174212123273	0.0	10.25555655822171
6900000.0	0.025998398077174186	0.02599833439025661	0.00571734634830474	0.005717332342820073	-0.0	-12.470922625163718	0.0	10.382031224418167
7000000.0	0.026186106469513394	0.026186049860152924	0.0057586255797520405	0.0057586131307034725	-0.0	-12.627320802402526	0.0	10.50815565666045
7100000.0	0.026372479411894762	0.026372429619662886	0.005799611130414967	0.005799600180531275	-0.0	-12.783373747631904	0.0	10.633934858767553
7200000.0	0.026557544998809014	0.026557501684031884	0.005840309178594713	0.0058402996531777196	-0.0	-12.939086323678957	0.0	10.759373693593343
7300000.0	0.026741330344928146	0.02674129311142251	0.005880725687119086	0.0058807174990435414	-0.0	-13.09446325827994	0.0	10.884476888900869
7400000.0	0.026923861633857245	0.026923830048030423	0.005920866414063581	0.005920859467977476	-0.0	-13.24950914963281	0.0	11.009249042914842
7500000.0	0.02710516416366005	0.02710513777036138	0.005960736922762982	0.005960731118573458	-0.0	-13.404228471649214	0.0	11.133694629573704
7600000.0	0.027285262389416913	0.02728524072491342	0.006000342591170345	0.006000337826897193	-0.0	-13.558625578926714	0.0	11.25781800350178
7700000.0	0.027464179963051776	0.027464162565480534	0.006039688620615402	0.006039684794689662	-0.0	-13.712704711459063	0.0	11.381623404719594
7800000.0	0.02764193977064504	0.027641926188270778	0.0060787800440101	0.006078777057089996	-0.0	-13.866469999101687	0.0	11.505114963109355
7900000.0	0.02781856396743012	0.027818553765010613	0.006117621733544735	0.006117619489915502	-0.0	-14.019925465808413	0.0	11.62829670265166
8000000.0	0.027994074010654665	0.027994066774189537	0.006156218407914516	0.006156216816532718	-0.0	-14.173075033653372	0.0	11.751172545447417
8100000.0	0.028168490690471212	0.028168486030582657	0.006194574639112779	0.006194573614349764	-0.0	-14.325922526651924	0.0	11.873746315538767
8200000.0	0.028341834159007588	0.028341831713175652	0.006232694858823895	0.006232694320957359	-0.0	-14.478471674392889	0.0	11.99602174254129
8300000.0	0.028514123957754274	0.028514123391603634	0.0062705833644460685	0.006270583239943041	-0.0	-14.630726115493395	0.0	12.118002465098904
8400000.0	0.028685379043393962	0.028685380051205883	0.006308244324771556	0.006308244546400972	-0.0	-14.782689400887492	0.0	12.239692034172418
8500000.0	0.0288556178121869	0.028855620116787713	0.006345681785349281	0.006345682292157469	-0.0	-14.934364996957845	0.0	12.361093916171288
8600000.0	0.02902485812301661	0.029024861475173924	0.0063828996735528516	0.006382900410730747	-0.0	-15.085756288520319	0.0	12.482211495938142
8700000.0	0.02919311731919042	0.029193121496629625	0.006419901803374751	0.006419902722041613	-0.0	-15.236866581669442	0.0	12.603048079594288
8800000.0	0.0293604122490821	0.029360417055219242	0.006456691879965888	0.0064566929368906475	-0.0	-15.38769910649332	0.0	12.723606897254605
8900000.0	0.029526759285695578	0.02952676454816761	0.006493273503937881	0.006493274661215923	-0.0	-15.538257019664895	0.0	12.843891105618805
9000000.0	0.029692174345222477	0.02969217991428255	0.006529650175444079	0.0065296514001443534	-0.0	-15.688543406916848	0.0	12.963903790446354
9100000.0	0.029856672904659917	0.02985667865149388	0.006565825298053912	0.006565826561848708	-0.0	-15.838561285406461	0.0	13.083647968921301
9200000.0	0.030020270018549775	0.030020275833559564	0.0066018021824340535	0.006601803461221496	-0.0	-15.988313605976593	0.0	13.20312659191328
9300000.0	0.03018298033489516	0.03018298612598592	0.006637584049848629	0.006637585323376003	-0.0	-16.13780325531816	0.0	13.322342546139991
9400000.0	0.030344818110305677	0.030344823801205845	0.006673174035489838	0.006673175286984149	-0.0	-16.287033058039864	0.0	13.441298656236896
9500000.0	0.030505797224419193	0.030505802753055943	0.006708575191649468	0.006708576407460189	-0.0	-16.436005778649527	0.0	13.5599976867386
9600000.0	0.03066593119364327	0.03066593651059036	0.006743790490740784	0.006743791659998518	-0.0	-16.584724123452297	0.0	13.678442343977023
9700000.0	0.03082523318425741	0.030825238251267536	0.006778822828179877	0.006778823942473602	-0.0	-16.73319074236949	0.0	13.796635277900263
9800000.0	0.030983716024912587	0.030983720813542448	0.006813675025134442	0.0068136760782091495	-0.0	-16.88140823068267	0.0	13.914579083816648
9900000.0	0.031141392218563338	0.03114139670889637	0.006848349831147786	0.006848350818623594	-0.0	-17.02937913070631	0.0	14.032276304067429
10000000.0	0.031298273953864364	0.03129827813333349	0.006882849926645075	0.006882850845758339	-0.0	-17.177105933393	0.0	14.149729429631975
11000000.0	0.03282587332806512	0.03282587467450591	0.007218786574658298	0.007218786870756091	-0.0	-18.641462804042657	0.0	15.311349680739697
12000000.0	0.03428546617390907	0.03428546614598231	0.007539767805979786	0.007539767799838372	-0.0	-20.08382100718395	0.0	16.45097155886215
13000000.0	0.0356853982881316	0.03568539795753342	0.007847628957169403	0.007847628884467064	-0.0	-21.506018294661047	0.0	17.570432842617905
14000000.0	0.03703243600049964	0.03703243575334662	0.00814385802185927	0.008143857967507481	-0.0	-22.909608776554386	0.0	18.671287668861687
15000000.0	0.038332155374421896	0.03833215525048077	0.008429681240438245	0.008429681213182166	-0.0	-24.2959239363314	0.0	19.754867547835065
16000000.0	0.03958921631066536	0.03958921625593136	0.008706123378607447	0.008706123366570812	-0.0	-25.666117304482405	0.0	20.822326036802423
17000000.0	0.04080756045117622	0.0408075604175348	0.008974051248703563	0.008974051241305427	-0.0	-27.02119792154449	0.0	21.874672203074706
18000000.0	0.04199055725584328	0.04199055721943884	0.009234205833656918	0.009234205825651166	-0.0	-28.362055901389805	0.0	22.91279618729782
19000000.0	0.04314111394659538	0.043141113900394185	0.009487226464961297	0.009487226454801122	-0.0	-29.68948229715026	0.0	23.93748906937725
20000000.0	0.04426175968829204	0.04426175963261413	0.00973366933501866	0.009733669322774448	-0.0	-31.00418477393799	0.0	24.949458541198528
21000000.0	0.04535471102736909	0.045354710964308396	0.00997402188784895	0.00997402187398118	-0.0	-32.30680013969881	0.0	25.949341437480733
22000000.0	0.04642192345077114	0.04642192338200964	0.010208714157491526	0.010208714142370083	-0.0	-33.59790448421031	0.0	26.937713874774463
23000000.0	0.04746513250220352	0.04746513242859947	0.010438127809941211	0.010438127793754833	-0.0	-34.87802147110852	0.0	27.915099543488626
24000000.0	0.048485886929663984	0.048485886851466514	0.010662603432671242	0.01066260341547472	-0.0	-36.147629185318884	0.0	28.88197655532129
25000000.0	0.04948557567405756	0.049485575591202736	0.010882446469739671	0.010882446451518944	-0.0	-37.407165837436835	0.0	29.838783147640335
26000000.0	0.05046545004221253	0.05046544995452735	0.011097932097890232	0.011097932078607256	-0.0	-38.657034554078365	0.0	30.785922473833924
27000000.0	0.05142664207457615	0.051426641981880045	0.011309309265819616	0.011309309245434676	-0.0	-39.897607430264216	0.0	31.723766655694774
28000000.0	0.0523701798765826	0.052370179778722006	0.011516804065721356	0.011516804044200687	-0.0	-41.12922898070745	0.0	32.652660234707675
29000000.0	0.05329700050552253	0.05329700040237321	0.011720622567256476	0.011720622544572755	-0.0	-42.35221909749316	0.0	33.572923129729205
30000000.0	0.05420796087306178	0.054207960764520294	0.011920953215142568	0.011920953191273051	-0.0	-43.56687559936716	0.0	34.484853186276325
31000000.0	0.05510384702456159	0.055103846910536304	0.012117968869782895	0.012117968844707424	-0.0	-44.77347644078118	0.0	35.388728385571774
32000000.0	0.055985382081149504	0.05598538196155424	0.012311828553818986	0.012311828527518614	-0.0	-45.97228163563587	0.0	36.28480876828682
33000000.0	0.056853233072796584	0.056853232947547135	0.012502678954802822	0.012502678927259028	-0.0	-47.16353494034606	0.0	37.17333811760666
34000000.0	0.057708016845990466	0.057708016715003224	0.012690655724361979	0.01269065569555638	-0.0	-48.34746533273255	0.0	38.05454543812213
35000000.0	0.0585503051947238	0.05855030505791542	0.012875884606562924	0.01287588457647719	-0.0	-49.52428831679286	0.0	38.92864626060055
36000000.0	0.05938062933606778	0.05938062919335534	0.013058482422141039	0.013058482390756933	-0.0	-50.69420707824783	0.0	39.79584379753212
37000000.0	0.060199483829840854	0.060199483681142064	0.013238557930480791	0.01323855789778022	-0.0	-51.8574135116068	0.0	40.656329970195394
38000000.0	0.06100733002450484	0.06100732986973826	0.01341621258740787	0.013416212553372922	-0.0	-53.01408913612783	0.0	41.5102863246171
39000000.0	0.06180459909745378	0.06180459893653896	0.013591541213783621	0.013591541178396605	-0.0	-54.164405915301316	0.0	42.35788485105611
40000000.0	0.06259169474656465	0.06259169457942217	0.013764632587407965	0.013764632550651416	-0.0	-55.30852699223687	0.0	43.19928871939008
41000000.0	0.06336899558068992	0.0633689954072414	0.01393556996871617	0.013935569930572848	-0.0	-56.4466073514704	0.0	44.034652940922605
42000000.0	0.06413685724925372	0.0641368570694218	0.014104431569101496	0.014104431529554389	-0.0	-57.57879441617152	0.0	44.86412496559064
43000000.0	0.06489561434493121	0.06489561415863945	0.014271290969336261	0.014271290928368563	-0.0	-58.70522858844593	0.0	45.6878452222668
44000000.0	0.06564558210828116	0.06564558191545405	0.014436217494440115	0.014436217452035221	-0.0	-59.8260437393536	0.0	46.50594760877762
45000000.0	0.06638705795895954	0.06638705775952246	0.014599276550411497	0.014599276506552994	-0.0	-60.941367654359205	0.0	47.31855993735395
46000000.0	0.0671203228746007	0.06712032266847988	0.014760529927459435	0.0147605298821311	-0.0	-62.051322439171415	0.0	48.125804340470104
47000000.0	0.06784564263548915	0.06784564242261161	0.014920036073721181	0.014920036026906967	-0.0	-63.15602489027581	0.0	48.92779764137703
48000000.0	0.06856326895065158	0.06856326873094516	0.015077850342902774	0.015077850294586808	-0.0	-64.25558683392174	0.0	49.724651693088944
49000000.0	0.06927344047888849	0.06927344025228174	0.015234025218815613	0.015234025168982188	-0.0	-65.35011543684966	0.0	50.51647368911074
50000000.0	0.06997638375648545	0.06997638352290766	0.015388610519390838	0.015388610468024403	-0.0	-66.43971349164347	0.0	51.303366448790285
51000000.0	0.07067231404181944	0.07067231380120068	0.015541653582417951	0.015541653529503123	-0.0	-67.5244796792471	0.0	52.08542867983501
52000000.0	0.0713614360857825	0.07136143583805345	0.015693199434969832	0.01569319938049137	-0.0	-68.6045088108849	0.0	52.862755220232394
53000000.0	0.07204394483583482	0.07204394458092689	0.01584329094823209	0.01584329089217491	-0.0	-69.67989205136678	0.0	53.635437261554856
54000000.0	0.07272002608054298	0.07272002581838818	0.01599196897924444	0.015991968921593592	-0.0	-70.75071712553489	0.0	54.40356255540667
55000000.0	0.07338985704064024	0.07338985677117128	0.01613927250088164	0.01613927244162232	-0.0	-71.81706850941342	0.0	55.167215604573606
56000000.0	0.07405360691193376	0.07405360663508394	0.01628523872124502	0.016285238660362567	-0.0	-72.87902760745334	0.0	55.92647784026767
